hyperparameters,iteration,runtime,score
"{'n_estimators': 2414, 'learning_rate': 0.006306843866838876, 'num_leaves': 136, 'reg_alpha': 0.18367346938775508, 'reg_lambda': 0.2755102040816326, 'colsample_bytree': 0.9555555555555555, 'subsample': 0.9393939393939394, 'is_unbalance': False, 'boosting_type': 'gbdt', 'max_depth': 8, 'min_split_gain': 0.18367346938775508}",28,594.8140801259997,0.7763574234688814
"{'n_estimators': 729, 'learning_rate': 0.02325799321724963, 'num_leaves': 34, 'reg_alpha': 0.37755102040816324, 'reg_lambda': 0.47959183673469385, 'colsample_bytree': 0.9555555555555555, 'subsample': 0.6282828282828282, 'is_unbalance': False, 'boosting_type': 'gbdt', 'max_depth': 5, 'min_split_gain': 0.37755102040816324}",29,100.77180680499987,0.7753691373247373
"{'n_estimators': 78, 'learning_rate': 0.0008633314269277188, 'num_leaves': 60, 'reg_alpha': 0.030612244897959183, 'reg_lambda': 0.32653061224489793, 'colsample_bytree': 0.6444444444444444, 'subsample': 0.692929292929293, 'is_unbalance': True, 'boosting_type': 'dart', 'max_depth': 6, 'min_split_gain': 0.4387755102040816}",30,50.27922943699923,0.7373482531384543
"{'n_estimators': 75, 'learning_rate': 0.00013017430123776503, 'num_leaves': 123, 'reg_alpha': 0.07142857142857142, 'reg_lambda': 0.36734693877551017, 'colsample_bytree': 0.7333333333333333, 'subsample': 0.898989898989899, 'is_unbalance': True, 'boosting_type': 'dart', 'max_depth': 6, 'min_split_gain': 0.26530612244897955}",31,54.40050446999885,0.7314184243122559
"{'n_estimators': 653, 'learning_rate': 0.001531342104677912, 'num_leaves': 100, 'reg_alpha': 0.16326530612244897, 'reg_lambda': 0.13265306122448978, 'colsample_bytree': 0.8222222222222222, 'subsample': 1.0, 'is_unbalance': False, 'boosting_type': 'goss', 'max_depth': 7, 'min_split_gain': 0.42857142857142855}",32,217.9574049060011,0.7456228077494481
"{'n_estimators': 78, 'learning_rate': 0.00020674748365389318, 'num_leaves': 137, 'reg_alpha': 0.2040816326530612, 'reg_lambda': 0.4897959183673469, 'colsample_bytree': 0.6444444444444444, 'subsample': 0.604040404040404, 'is_unbalance': False, 'boosting_type': 'dart', 'max_depth': 14, 'min_split_gain': 0.061224489795918366}",33,97.64113531099974,0.7432761226861732
"{'n_estimators': 2426, 'learning_rate': 0.001106959843469132, 'num_leaves': 74, 'reg_alpha': 0.32653061224489793, 'reg_lambda': 0.16326530612244897, 'colsample_bytree': 0.6888888888888889, 'subsample': 0.7777777777777778, 'is_unbalance': True, 'boosting_type': 'gbdt', 'max_depth': 10, 'min_split_gain': 0.18367346938775508}",34,718.7187062889989,0.7599642282785841
"{'n_estimators': 17, 'learning_rate': 0.0005473451876580664, 'num_leaves': 97, 'reg_alpha': 0.39795918367346933, 'reg_lambda': 0.4183673469387755, 'colsample_bytree': 0.9555555555555555, 'subsample': 0.604040404040404, 'is_unbalance': False, 'boosting_type': 'dart', 'max_depth': 6, 'min_split_gain': 0.08163265306122448}",35,42.0660027619997,0.7218794794025464
"{'n_estimators': 80, 'learning_rate': 5.606348265248666e-05, 'num_leaves': 47, 'reg_alpha': 0.47959183673469385, 'reg_lambda': 0.3571428571428571, 'colsample_bytree': 0.6888888888888889, 'subsample': 0.7373737373737373, 'is_unbalance': False, 'boosting_type': 'dart', 'max_depth': 8, 'min_split_gain': 0.4591836734693877}",36,56.207792302997404,0.734804044344844
"{'n_estimators': 75, 'learning_rate': 0.00010436763995448486, 'num_leaves': 87, 'reg_alpha': 0.32653061224489793, 'reg_lambda': 0.31632653061224486, 'colsample_bytree': 0.7777777777777778, 'subsample': 0.6242424242424243, 'is_unbalance': True, 'boosting_type': 'dart', 'max_depth': 11, 'min_split_gain': 0.17346938775510204}",37,85.30855658300061,0.7331920581105384
"{'n_estimators': 75, 'learning_rate': 2.534113176140414e-05, 'num_leaves': 105, 'reg_alpha': 0.5, 'reg_lambda': 0.08163265306122448, 'colsample_bytree': 0.7777777777777778, 'subsample': 0.6808080808080808, 'is_unbalance': False, 'boosting_type': 'dart', 'max_depth': 11, 'min_split_gain': 0.3571428571428571}",38,84.06605370599937,0.7342548835790191
"{'n_estimators': 17, 'learning_rate': 5.4536234514711206e-05, 'num_leaves': 39, 'reg_alpha': 0.44897959183673464, 'reg_lambda': 0.09183673469387754, 'colsample_bytree': 0.9555555555555555, 'subsample': 0.6161616161616161, 'is_unbalance': False, 'boosting_type': 'dart', 'max_depth': 13, 'min_split_gain': 0.09183673469387754}",39,42.85260619900146,0.7197759114501474
"{'n_estimators': 78, 'learning_rate': 6.090666845594431e-05, 'num_leaves': 30, 'reg_alpha': 0.19387755102040816, 'reg_lambda': 0.2346938775510204, 'colsample_bytree': 0.6, 'subsample': 0.7818181818181817, 'is_unbalance': True, 'boosting_type': 'dart', 'max_depth': 8, 'min_split_gain': 0.42857142857142855}",40,43.946168463000504,0.7350714263245525
"{'n_estimators': 75, 'learning_rate': 0.00030225287301142707, 'num_leaves': 124, 'reg_alpha': 0.39795918367346933, 'reg_lambda': 0.47959183673469385, 'colsample_bytree': 0.6888888888888889, 'subsample': 0.7212121212121212, 'is_unbalance': True, 'boosting_type': 'gbdt', 'max_depth': 11, 'min_split_gain': 0.01020408163265306}",41,80.08378514300057,0.7396594922245645
"{'n_estimators': 4480, 'learning_rate': 0.004527651502792773, 'num_leaves': 105, 'reg_alpha': 0.26530612244897955, 'reg_lambda': 0.42857142857142855, 'colsample_bytree': 0.7333333333333333, 'subsample': 0.7373737373737373, 'is_unbalance': True, 'boosting_type': 'dart', 'max_depth': 6, 'min_split_gain': 0.24489795918367346}",42,2532.7461265249985,0.769509215091924
"{'n_estimators': 17, 'learning_rate': 3.2492290183110823e-05, 'num_leaves': 140, 'reg_alpha': 0.14285714285714285, 'reg_lambda': 0.12244897959183673, 'colsample_bytree': 0.9111111111111111, 'subsample': 0.7777777777777778, 'is_unbalance': False, 'boosting_type': 'gbdt', 'max_depth': 8, 'min_split_gain': 0.01020408163265306}",43,59.794020662997355,0.7273664757757915
"{'n_estimators': 75, 'learning_rate': 9.673415045269516e-05, 'num_leaves': 122, 'reg_alpha': 0.21428571428571427, 'reg_lambda': 0.17346938775510204, 'colsample_bytree': 0.6444444444444444, 'subsample': 1.0, 'is_unbalance': False, 'boosting_type': 'goss', 'max_depth': 13, 'min_split_gain': 0.25510204081632654}",44,71.05109713899947,0.7418968913017568
"{'n_estimators': 1373, 'learning_rate': 0.00961024967783114, 'num_leaves': 104, 'reg_alpha': 0.01020408163265306, 'reg_lambda': 0.07142857142857142, 'colsample_bytree': 0.7777777777777778, 'subsample': 0.6888888888888889, 'is_unbalance': False, 'boosting_type': 'gbdt', 'max_depth': 6, 'min_split_gain': 0.3877551020408163}",45,196.31367191800018,0.7760195493244433
"{'n_estimators': 17, 'learning_rate': 0.0002840415400034483, 'num_leaves': 100, 'reg_alpha': 0.2755102040816326, 'reg_lambda': 0.3877551020408163, 'colsample_bytree': 0.9555555555555555, 'subsample': 0.6565656565656566, 'is_unbalance': False, 'boosting_type': 'dart', 'max_depth': 8, 'min_split_gain': 0.16326530612244897}",46,59.94329457099957,0.7236886916990147
"{'n_estimators': 269, 'learning_rate': 0.0037060373536440235, 'num_leaves': 131, 'reg_alpha': 0.0, 'reg_lambda': 0.336734693877551, 'colsample_bytree': 0.9555555555555555, 'subsample': 1.0, 'is_unbalance': True, 'boosting_type': 'goss', 'max_depth': 11, 'min_split_gain': 0.04081632653061224}",47,187.6290853319988,0.7436951590209254
"{'n_estimators': 78, 'learning_rate': 0.002716232223706261, 'num_leaves': 104, 'reg_alpha': 0.39795918367346933, 'reg_lambda': 0.2040816326530612, 'colsample_bytree': 0.6444444444444444, 'subsample': 0.9717171717171718, 'is_unbalance': False, 'boosting_type': 'dart', 'max_depth': 9, 'min_split_gain': 0.42857142857142855}",48,70.38205304700023,0.7434130722495703
"{'n_estimators': 4014, 'learning_rate': 0.0002491184938565, 'num_leaves': 123, 'reg_alpha': 0.44897959183673464, 'reg_lambda': 0.18367346938775508, 'colsample_bytree': 0.9555555555555555, 'subsample': 1.0, 'is_unbalance': True, 'boosting_type': 'goss', 'max_depth': 11, 'min_split_gain': 0.4387755102040816}",49,1858.0759657879971,0.7441875893619726
"{'n_estimators': 68, 'learning_rate': 0.014643917119284066, 'num_leaves': 64, 'reg_alpha': 0.39795918367346933, 'reg_lambda': 0.36734693877551017, 'colsample_bytree': 0.7777777777777778, 'subsample': 1.0, 'is_unbalance': True, 'boosting_type': 'goss', 'max_depth': 9, 'min_split_gain': 0.13265306122448978}",50,42.794648709001194,0.7441869027128055
"{'n_estimators': 7939, 'learning_rate': 0.006394543435214298, 'num_leaves': 102, 'reg_alpha': 0.29591836734693877, 'reg_lambda': 0.2857142857142857, 'colsample_bytree': 0.9111111111111111, 'subsample': 0.9474747474747475, 'is_unbalance': True, 'boosting_type': 'dart', 'max_depth': 12, 'min_split_gain': 0.47959183673469385}",51,4907.973548308,0.7774950211536492
