hyperparameters,iteration,runtime,score
"{'subsample': 0.5555555555555556, 'colsample_bytree': 0.9444444444444444, 'gamma': 0.3333333333333333, 'min_child_weight': 2, 'learning_rate': 3.340221346835028e-05, 'max_depth': 3}",46,299.32874876700225,0.7079076357748475
"{'subsample': 0.9444444444444444, 'colsample_bytree': 0.9444444444444444, 'gamma': 0.6666666666666666, 'min_child_weight': 9, 'learning_rate': 6.090666845594431e-05, 'max_depth': 6}",47,572.6203499869989,0.7258064610698419
"{'subsample': 0.8888888888888888, 'colsample_bytree': 0.8888888888888888, 'gamma': 0.5555555555555556, 'min_child_weight': 5, 'learning_rate': 0.00035427560696565014, 'max_depth': 6}",48,547.0000918950027,0.7305037685842024
"{'subsample': 0.7222222222222222, 'colsample_bytree': 0.6111111111111112, 'gamma': 0.8888888888888888, 'min_child_weight': 1, 'learning_rate': 0.0006415523751529668, 'max_depth': 6}",49,425.3708438779977,0.7410945833325769
"{'subsample': 0.8888888888888888, 'colsample_bytree': 0.8888888888888888, 'gamma': 0.8888888888888888, 'min_child_weight': 4, 'learning_rate': 0.0003375593436213078, 'max_depth': 3}",50,288.1837434120025,0.7099841020481907
"{'subsample': 0.6666666666666666, 'colsample_bytree': 0.6666666666666666, 'gamma': 0.2222222222222222, 'min_child_weight': 7, 'learning_rate': 0.018906463882681038, 'max_depth': 6}",51,452.7495107899995,0.7750984756293242
"{'subsample': 0.6666666666666666, 'colsample_bytree': 0.6666666666666666, 'gamma': 0.3333333333333333, 'min_child_weight': 6, 'learning_rate': 0.0013902406715708923, 'max_depth': 8}",52,617.5700493690019,0.7500096424780518
"{'subsample': 0.6111111111111112, 'colsample_bytree': 0.9444444444444444, 'gamma': 0.6666666666666666, 'min_child_weight': 3, 'learning_rate': 0.0002614550812623665, 'max_depth': 9}",53,911.4308414449988,0.7396099407190718
"{'subsample': 0.5, 'colsample_bytree': 0.6666666666666666, 'gamma': 0.1111111111111111, 'min_child_weight': 4, 'learning_rate': 0.007443575945827754, 'max_depth': 5}",54,366.7650980360013,0.7548608742085865
"{'subsample': 0.6666666666666666, 'colsample_bytree': 0.9444444444444444, 'gamma': 0.3333333333333333, 'min_child_weight': 5, 'learning_rate': 0.02407497775713572, 'max_depth': 6}",55,588.4473335330003,0.7772472841749279
"{'subsample': 0.9444444444444444, 'colsample_bytree': 0.6111111111111112, 'gamma': 1.0, 'min_child_weight': 4, 'learning_rate': 0.00043281713895939336, 'max_depth': 7}",56,520.0505112579995,0.7439204247608749
"{'subsample': 0.5, 'colsample_bytree': 0.9444444444444444, 'gamma': 0.7777777777777777, 'min_child_weight': 7, 'learning_rate': 0.007599373967352369, 'max_depth': 7}",57,664.7098414840002,0.7611799417351971
"{'subsample': 0.6111111111111112, 'colsample_bytree': 0.8333333333333333, 'gamma': 0.7777777777777777, 'min_child_weight': 2, 'learning_rate': 9.409897610839109e-05, 'max_depth': 4}",58,351.95657970499815,0.7215306011682988
"{'subsample': 0.7222222222222222, 'colsample_bytree': 0.9444444444444444, 'gamma': 1.0, 'min_child_weight': 8, 'learning_rate': 5.8434920641689786e-05, 'max_depth': 7}",59,671.2796711870033,0.733343753819466
"{'subsample': 1.0, 'colsample_bytree': 0.7222222222222222, 'gamma': 0.2222222222222222, 'min_child_weight': 5, 'learning_rate': 0.023581406323630146, 'max_depth': 3}",60,248.60348034900017,0.7666250072400643
"{'subsample': 0.7222222222222222, 'colsample_bytree': 0.8888888888888888, 'gamma': 0.4444444444444444, 'min_child_weight': 7, 'learning_rate': 0.00010152451861732981, 'max_depth': 8}",61,754.4347915149992,0.7396795731962842
"{'subsample': 0.8888888888888888, 'colsample_bytree': 0.7222222222222222, 'gamma': 1.0, 'min_child_weight': 3, 'learning_rate': 5.0547433255846485e-05, 'max_depth': 4}",62,321.90751764200104,0.7244786574625357
"{'subsample': 0.6666666666666666, 'colsample_bytree': 0.6111111111111112, 'gamma': 0.2222222222222222, 'min_child_weight': 7, 'learning_rate': 0.0016183113191207382, 'max_depth': 6}",63,421.4819795430012,0.7445293743116618
"{'subsample': 0.5, 'colsample_bytree': 0.6111111111111112, 'gamma': 0.4444444444444444, 'min_child_weight': 1, 'learning_rate': 0.0005864737983657862, 'max_depth': 6}",64,414.1394500990027,0.7413349773626356
"{'subsample': 0.7777777777777778, 'colsample_bytree': 0.7777777777777778, 'gamma': 0.8888888888888888, 'min_child_weight': 2, 'learning_rate': 0.0028704946723246316, 'max_depth': 6}",65,508.5546899419969,0.7423566069495598
"{'subsample': 1.0, 'colsample_bytree': 0.5555555555555556, 'gamma': 0.8888888888888888, 'min_child_weight': 2, 'learning_rate': 2.6596048978101113e-05, 'max_depth': 5}",66,342.2568767540033,0.7335820266896056
"{'subsample': 0.7777777777777778, 'colsample_bytree': 0.7777777777777778, 'gamma': 0.4444444444444444, 'min_child_weight': 4, 'learning_rate': 0.01789041691301527, 'max_depth': 4}",67,353.5009323869999,0.7678519450453605
"{'subsample': 1.0, 'colsample_bytree': 0.7777777777777778, 'gamma': 0.0, 'min_child_weight': 8, 'learning_rate': 0.000598749008308748, 'max_depth': 6}",68,495.42852860700077,0.7337400936834932
"{'subsample': 0.6111111111111112, 'colsample_bytree': 0.5555555555555556, 'gamma': 0.4444444444444444, 'min_child_weight': 9, 'learning_rate': 0.0010049619817057288, 'max_depth': 6}",69,391.78737430000183,0.7444836247875608
"{'subsample': 0.5, 'colsample_bytree': 0.9444444444444444, 'gamma': 0.1111111111111111, 'min_child_weight': 7, 'learning_rate': 0.0031837408529010454, 'max_depth': 7}",70,663.4878455069993,0.7453808330097818
"{'subsample': 0.7222222222222222, 'colsample_bytree': 0.5555555555555556, 'gamma': 1.0, 'min_child_weight': 5, 'learning_rate': 0.0001646198149882572, 'max_depth': 8}",71,550.2432208829996,0.7479779809851967
"{'subsample': 0.7777777777777778, 'colsample_bytree': 0.5555555555555556, 'gamma': 0.2222222222222222, 'min_child_weight': 5, 'learning_rate': 9.153558762039921e-05, 'max_depth': 8}",72,546.6680357029982,0.7476643917746959
"{'subsample': 0.7777777777777778, 'colsample_bytree': 0.8333333333333333, 'gamma': 0.8888888888888888, 'min_child_weight': 4, 'learning_rate': 0.0007467998108167124, 'max_depth': 3}",73,277.1034536590014,0.7132329540877769
"{'subsample': 0.5, 'colsample_bytree': 1.0, 'gamma': 0.1111111111111111, 'min_child_weight': 5, 'learning_rate': 0.0006327536443348602, 'max_depth': 8}",74,806.2534407720013,0.73778720552943
"{'subsample': 0.7222222222222222, 'colsample_bytree': 0.7777777777777778, 'gamma': 1.0, 'min_child_weight': 8, 'learning_rate': 0.00010152451861732981, 'max_depth': 10}",75,894.2525664440036,0.7479074648904029
"{'subsample': 0.8333333333333333, 'colsample_bytree': 0.7777777777777778, 'gamma': 0.1111111111111111, 'min_child_weight': 8, 'learning_rate': 0.0004934922525692886, 'max_depth': 4}",76,337.87649681600305,0.7238873518982126
"{'subsample': 0.7222222222222222, 'colsample_bytree': 0.6111111111111112, 'gamma': 0.0, 'min_child_weight': 8, 'learning_rate': 9.606851795385262e-05, 'max_depth': 5}",77,352.9151466129988,0.7347358807902911
"{'subsample': 0.6111111111111112, 'colsample_bytree': 0.7222222222222222, 'gamma': 0.0, 'min_child_weight': 5, 'learning_rate': 0.0013902406715708923, 'max_depth': 8}",78,646.9227142169984,0.748888902846279
"{'subsample': 0.5555555555555556, 'colsample_bytree': 0.7222222222222222, 'gamma': 0.0, 'min_child_weight': 5, 'learning_rate': 0.0019634802621796314, 'max_depth': 4}",79,316.6655583700049,0.7304852166575296
"{'subsample': 0.6111111111111112, 'colsample_bytree': 0.7222222222222222, 'gamma': 0.0, 'min_child_weight': 5, 'learning_rate': 3.888188660056907e-05, 'max_depth': 9}",80,745.3229720499949,0.7469537696548213
"{'subsample': 0.7222222222222222, 'colsample_bytree': 0.5, 'gamma': 0.5555555555555556, 'min_child_weight': 6, 'learning_rate': 0.004138943408768952, 'max_depth': 9}",81,602.0859372980049,0.7603408092179784
